Species	Phylum	Class	Order	Family	Genus
s__midas_s_116273	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas
s__midas_s_1949	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Novosphingobium
s__midas_s_5918	p__Firmicutes	c__Clostridia	o__Peptostreptococcales-Tissierellales	f__Peptostreptococcaceae	g__Romboutsia
s__midas_s_40578	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Eubacterium_hallii_group
s__Enterococcus_faecalis	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus
s__midas_s_22643	p__Firmicutes	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__CAG-352
s__midas_s_75194	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__midas_g_75194
s__midas_s_35131	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Novosphingobium
s__Comamonas_nitrativorans	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Comamonas
s__midas_s_102334	p__Cyanobacteria	c__Cyanobacteriia	o__Chloroplast	f__Sanionia_uncinata	g__midas_g_29625
s__midas_s_31044	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__CAG-56
s__midas_s_23224	p__Firmicutes	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminococcus
s__midas_s_32693	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter
s__midas_s_70739	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Sutterellaceae	g__Sutterella
s__Ruminococcus_bromii	p__Firmicutes	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminococcus
s__midas_s_25603	p__Firmicutes	c__Clostridia	o__Clostridia_UCG-014	f__midas_f_4482	g__midas_g_25603
s__midas_s_56962	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnospiraceae_UCG-008
s__midas_s_46085	p__Firmicutes	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__UCG-005
s__Sellimonas_intestinalis	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Sellimonas
s__midas_s_89273	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnospiraceae_UCG-003
s__midas_s_8585	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Coprococcus
s__midas_s_115443	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Rikenellaceae_RC9_gut_group
s__Pseudomonas_flexibilis	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas
s__Chryseobacterium_haifense	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Weeksellaceae	g__Chryseobacterium
s__midas_s_67536	p__Actinobacteriota	c__Coriobacteriia	o__OPB41	f__midas_f_3016	g__midas_g_67536
s__midas_s_51204	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas
s__midas_s_71367	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__midas_g_71367
s__Bacteroides_nordii	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides
s__midas_s_42694	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__midas_f_28615	g__midas_g_42694
s__midas_s_62346	p__Firmicutes	c__Clostridia	o__Christensenellales	f__Christensenellaceae	g__Christensenellaceae_R-7_group
s__midas_s_110486	p__Actinobacteriota	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__Olsenella
s__midas_s_50176	p__Firmicutes	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__UCG-002
s__Leptonema_illini	p__Spirochaetota	c__Leptospirae	o__Leptospirales	f__Leptospiraceae	g__Leptonema
s__Massilia_aurea	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__Massilia
s__midas_s_55252	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella_9
s__midas_s_59275	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Succinivibrionaceae	g__Succinivibrio
s__midas_s_31061	p__Firmicutes	c__Negativicutes	o__Veillonellales-Selenomonadales	f__Veillonellaceae	g__Dialister
s__midas_s_66593	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Eubacterium_xylanophilum_group
s__midas_s_86198	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas
s__midas_s_34293	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnospiraceae_NK4A136_group
s__Sphingobacterium_mizutaii	p__Bacteroidota	c__Bacteroidia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Sphingobacterium
s__midas_s_2629	p__Firmicutes	c__Clostridia	o__Christensenellales	f__Christensenellaceae	g__Christensenellaceae_R-7_group
s__midas_s_76801	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella
s__Ruminococcus_torques	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Ruminococcus_torques_group
s__midas_s_50099	p__Firmicutes	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium
s__midas_s_70171	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Weeksellaceae	g__Chryseobacterium
s__midas_s_35436	p__Firmicutes	c__Bacilli	o__RF39	f__midas_f_31399	g__midas_g_35436
s__midas_s_45711	p__Firmicutes	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Catenisphaera
s__midas_s_53802	p__Firmicutes	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__midas_g_53802
s__midas_s_50924	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus
s__midas_s_25303	p__Firmicutes	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__NK4A214_group
s__midas_s_116150	p__Firmicutes	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Negativibacillus
s__midas_s_30707	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnospiraceae_ND3007_group
s__midas_s_16719	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Paracoccus
s__midas_s_1546	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Diaphorobacter
s__midas_s_11648	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Yersiniaceae	g__Serratia
s__midas_s_72555	p__Firmicutes	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__midas_g_72555
s__midas_s_58886	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella_9
s__midas_s_73106	p__Firmicutes	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__midas_g_73106
s__midas_s_34	p__Firmicutes	c__Clostridia	o__Peptostreptococcales-Tissierellales	f__Peptostreptococcaceae	g__Romboutsia
s__midas_s_74214	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnospiraceae_FCS020_group
s__Acinetobacter_towneri	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter
s__midas_s_48221	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Tyzzerella
s__midas_s_84907	p__Firmicutes	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__midas_g_84907
s__midas_s_62834	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnospiraceae_UCG-001
s__midas_s_62090	p__Firmicutes	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__UCG-005
s__midas_s_27369	p__Firmicutes	c__Clostridia	o__Clostridia_UCG-014	f__midas_f_4482	g__midas_g_4482
s__midas_s_65746	p__Firmicutes	c__Clostridia	o__Clostridia_UCG-014	f__midas_f_4482	g__midas_g_23078
s__midas_s_16591	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Pseudoxanthomonas
s__midas_s_14052	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Stenotrophomonas
s__midas_s_71758	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Ruminococcus_gauvreauii_group
s__midas_s_80848	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella_9
s__midas_s_42939	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Acidovorax
s__Alistipes_onderdonkii	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes
s__midas_s_43734	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__midas_g_3008
s__midas_s_9400	p__Firmicutes	c__Clostridia	o__Clostridia_UCG-014	f__midas_f_4482	g__midas_g_9400
s__midas_s_1124	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter
s__Megasphaera_massiliensis	p__Firmicutes	c__Negativicutes	o__Veillonellales-Selenomonadales	f__Veillonellaceae	g__Megasphaera
s__midas_s_72631	p__Firmicutes	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__Phascolarctobacterium
s__midas_s_38855	p__Firmicutes	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Solobacterium
s__midas_s_10669	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas
s__midas_s_60431	p__Firmicutes	c__Bacilli	o__Erysipelotrichales	f__Erysipelatoclostridiaceae	g__Erysipelotrichaceae_UCG-003
s__Faecalimonas_umbilicata	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__midas_g_64438
s__midas_s_3961	p__Firmicutes	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__UCG-002
s__midas_s_119100	p__Firmicutes	c__Clostridia	o__Christensenellales	f__Christensenellaceae	g__Christensenellaceae_R-7_group
s__midas_s_68994	p__Firmicutes	c__Bacilli	o__Izemoplasmatales	f__midas_f_16343	g__midas_g_68994
s__midas_s_114964	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Rikenellaceae_RC9_gut_group
s__midas_s_88977	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_sensu_stricto_13
s__midas_s_23221	p__Firmicutes	c__Clostridia	o__Clostridia_UCG-014	f__midas_f_4482	g__midas_g_14615
s__Olsenella_umbonata	p__Actinobacteriota	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__Olsenella
s__midas_s_7859	p__Firmicutes	c__Clostridia	o__Oscillospirales	f__Eubacterium_coprostanoligenes_group	g__midas_g_7859
s__midas_s_35826	p__Firmicutes	c__Clostridia	o__Clostridia_UCG-014	f__midas_f_4482	g__midas_g_35826
s__Flavobacterium_sasangense	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium
s__midas_s_110901	p__Firmicutes	c__Clostridia	o__Peptostreptococcales-Tissierellales	f__Family_XI	g__Peptoniphilus
s__Weissella_soli	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Weissella
s__midas_s_4482	p__Firmicutes	c__Clostridia	o__Clostridia_UCG-014	f__midas_f_4482	g__midas_g_4482
s__midas_s_5739	p__Firmicutes	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminococcus
s__midas_s_101	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_sensu_stricto_1
s__midas_s_2809	p__Firmicutes	c__Clostridia	o__Christensenellales	f__Christensenellaceae	g__Christensenellaceae_R-7_group
s__midas_s_50946	p__Firmicutes	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium
s__midas_s_22262	p__Firmicutes	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__NK4A214_group
s__midas_s_9142	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Alcaligenaceae	g__midas_g_9142
s__midas_s_84743	p__Firmicutes	c__Clostridia	o__Christensenellales	f__Christensenellaceae	g__Christensenellaceae_R-7_group
s__midas_s_58625	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Ruminococcus_torques_group
s__midas_s_56185	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia
s__midas_s_116089	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella_7
s__midas_s_6032	p__Firmicutes	c__Clostridia	o__Monoglobales	f__Monoglobaceae	g__Monoglobus
s__midas_s_12138	p__Firmicutes	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Catenisphaera
s__midas_s_58355	p__Firmicutes	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminococcus
