Species	Phylum	Class	Order	Family	Genus
s__midas_s_18114	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Alcaligenaceae	g__Achromobacter
s__Acidaminococcus_fermentans	p__Firmicutes	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__Acidaminococcus
s__Acidaminococcus_intestini	p__Firmicutes	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__Acidaminococcus
s__midas_s_18392	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter
s__midas_s_43671	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	g__Aerococcus
s__midas_s_4701	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Aeromonadaceae	g__Aeromonas
s__midas_s_2190	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Afipia
s__midas_s_25001	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
s__Akkermansia_muciniphila	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Akkermansiaceae	g__Akkermansia
s__midas_s_9908	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Alcaligenaceae	g__Alcaligenes
s__Alistipes_indistinctus	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes
s__midas_s_72221	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes
s__midas_s_34931	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes
s__Alistipes_putredinis	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes
s__Alistipes_shahii	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes
s__Amaricoccus_kaplicensis	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Amaricoccus
s__Anaerococcus_octavius	p__Firmicutes	c__Clostridia	o__Peptostreptococcales-Tissierellales	f__Family_XI	g__Anaerococcus
s__Anaerostipes_caccae	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Anaerostipes
s__Anaerostipes_hadrus	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Anaerostipes
s__midas_s_32193	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Ancylobacter
s__Arcobacter_butzleri	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Arcobacteraceae	g__Arcobacter
s__midas_s_2255	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Arcobacteraceae	g__Arcobacter
s__midas_s_115162	p__Actinobacteriota	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Pseudarthrobacter
s__midas_s_67548	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus
s__midas_s_59078	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus
s__midas_s_120159	p__Firmicutes	c__Bacilli	o__Bacillales	f__Planococcaceae	g__Bhargavaea
s__midas_s_9537	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus
s__Bacillus_circulans	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus
s__Bacillus_clausii	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus
s__Bacillus_firmus	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus
s__midas_s_65169	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus
s__midas_s_107744	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus
s__Bacteroides_caccae	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides
s__Bacteroides_cellulosilyticus	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides
s__Bacteroides_clarus	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides
s__Bacteroides_coprocola	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides
s__Bacteroides_coprophilus	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides
s__Bacteroides_dorei	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides
s__Bacteroides_eggerthii	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides
s__Bacteroides_thetaiotaomicron	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides
s__Bacteroides_finegoldii	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides
s__midas_s_45413	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides
s__Bacteroides_graminisolvens	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides
s__Bacteroides_intestinalis	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides
s__Bacteroides_massiliensis	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides
s__Bacteroides_plebeius	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides
s__Bacteroides_pyogenes	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides
s__Bacteroides_salyersiae	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides
s__Bacteroides_stercoris	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides
s__Bacteroides_uniformis	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides
s__Bacteroides_vulgatus	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides
s__midas_s_83415	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides
s__midas_s_56032	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Barnesiellaceae	g__Barnesiella
s__Bifidobacterium_bifidum	p__Actinobacteriota	c__Actinobacteria	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Bifidobacterium
s__midas_s_92048	p__Actinobacteriota	c__Actinobacteria	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Bifidobacterium
s__midas_s_110072	p__Actinobacteriota	c__Actinobacteria	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Bifidobacterium
s__Bifidobacterium_longum	p__Actinobacteriota	c__Actinobacteria	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Bifidobacterium
s__Bifidobacterium_mongoliense	p__Actinobacteriota	c__Actinobacteria	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Bifidobacterium
s__midas_s_96462	p__Actinobacteriota	c__Actinobacteria	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Bifidobacterium
s__midas_s_78457	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia
s__midas_s_8259	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia
s__Blautia_hansenii	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia
s__Blautia_hydrogenotrophica	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia
s__Blautia_wexlerae	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia
s__midas_s_3629	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Bradyrhizobium
s__midas_s_43232	p__Actinobacteriota	c__Actinobacteria	o__Micrococcales	f__Brevibacteriaceae	g__Brevibacterium
s__midas_s_25101	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Brevundimonas
s__midas_s_10036	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Listeriaceae	g__Brochothrix
s__midas_s_9541	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Campylobacteraceae	g__Campylobacter
s__Catenibacterium_mitsuokai	p__Firmicutes	c__Bacilli	o__Erysipelotrichales	f__Erysipelatoclostridiaceae	g__Catenibacterium
s__Chryseobacterium_hominis	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Weeksellaceae	g__Chryseobacterium
s__midas_s_115031	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Citrobacter
s__midas_s_9538	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Salmonella
s__midas_s_14931	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Kluyvera
s__Clostridium_amazonense	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_sensu_stricto_11
s__Intestinibacter_bartlettii	p__Firmicutes	c__Clostridia	o__Peptostreptococcales-Tissierellales	f__Peptostreptococcaceae	g__Intestinibacter
s__Clostridium_haemolyticum	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_sensu_stricto_7
s__Clostridium_saccharoperbutylacetonicum	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_sensu_stricto_1
s__Clostridium_chartatabidum	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_sensu_stricto_1
s__Clostridium_citroniae	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnoclostridium
s__Clostridium_cochlearium	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_sensu_stricto_15
s__midas_s_64	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_sensu_stricto_1
s__midas_s_37284	p__Firmicutes	c__Clostridia	o__Peptostreptococcales-Tissierellales	f__Peptostreptococcaceae	g__Paeniclostridium
s__midas_s_78	p__Firmicutes	c__Clostridia	o__Peptostreptococcales-Tissierellales	f__Peptostreptococcaceae	g__Terrisporobacter
s__Anaerotignum_lactatifermentans	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Tyzzerella
s__Hathewaya_limosa	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Hathewaya
s__Romboutsia_lituseburensis	p__Firmicutes	c__Clostridia	o__Peptostreptococcales-Tissierellales	f__Peptostreptococcaceae	g__Romboutsia
s__Clostridium_paraputrificum	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_sensu_stricto_1
s__midas_s_24533	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_sensu_stricto_5
s__Erysipelatoclostridium_ramosum	p__Firmicutes	c__Bacilli	o__Erysipelotrichales	f__Erysipelatoclostridiaceae	g__Erysipelatoclostridium
s__Clostridium_saccharogumia	p__Firmicutes	c__Bacilli	o__Erysipelotrichales	f__Erysipelatoclostridiaceae	g__Erysipelatoclostridium
s__Clostridium_senegalense	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_sensu_stricto_11
s__Clostridium_spiroforme	p__Firmicutes	c__Bacilli	o__Erysipelotrichales	f__Erysipelatoclostridiaceae	g__Erysipelatoclostridium
s__Collinsella_aerofaciens	p__Actinobacteriota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella
s__Comamonas_terrae	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Comamonas
s__midas_s_22325	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Comamonas
s__midas_s_83872	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnospira
s__midas_s_78537	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Coprococcus
s__Coprococcus_comes	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Coprococcus
s__Coprococcus_eutactus	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Coprococcus
s__Corynebacterium_amycolatum	p__Actinobacteriota	c__Actinobacteria	o__Corynebacteriales	f__Corynebacteriaceae	g__Corynebacterium
s__midas_s_112574	p__Actinobacteriota	c__Actinobacteria	o__Corynebacteriales	f__Corynebacteriaceae	g__Corynebacterium
s__midas_s_5929	p__Actinobacteriota	c__Actinobacteria	o__Corynebacteriales	f__Corynebacteriaceae	g__Corynebacterium
s__midas_s_47766	p__Actinobacteriota	c__Actinobacteria	o__Corynebacteriales	f__Corynebacteriaceae	g__Corynebacterium
s__Desulfovibrio_desulfuricans	p__Desulfobacterota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Desulfovibrio
s__Desulfovibrio_piger	p__Desulfobacterota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Desulfovibrio
s__Dialister_succinatiphilus	p__Firmicutes	c__Negativicutes	o__Veillonellales-Selenomonadales	f__Veillonellaceae	g__Dialister
s__midas_s_5446	p__Actinobacteriota	c__Actinobacteria	o__Corynebacteriales	f__Dietziaceae	g__Dietzia
s__Dorea_formicigenerans	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Dorea
s__Dorea_longicatena	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Dorea
s__midas_s_52925	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter
s__midas_s_7050	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus
s__midas_s_22870	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus
s__midas_s_28677	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus
s__midas_s_26657	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus
s__midas_s_9572	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia-Shigella
s__midas_s_3613	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Eubacteriaceae	g__Eubacterium
s__midas_s_15859	p__Firmicutes	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Holdemanella
s__midas_s_4949	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Eubacteriaceae	g__Eubacterium
s__Faecalitalea_cylindroides	p__Firmicutes	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Faecalitalea
s__Eubacterium_eligens	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Eubacterium_eligens_group
s__Eubacterium_hallii	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Eubacterium_hallii_group
s__midas_s_62867	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Agathobacter
s__Eubacterium_rectale	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Agathobacter
s__Eubacterium_siraeum	p__Firmicutes	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Eubacterium_siraeum_group
s__Eubacterium_ventriosum	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Eubacterium_ventriosum_group
s__midas_s_84354	p__Firmicutes	c__Bacilli	o__Exiguobacterales	f__Exiguobacteraceae	g__Exiguobacterium
s__Facklamia_tabacinasalis	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	g__Facklamia
s__Faecalibacterium_prausnitzii	p__Firmicutes	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium
s__Flavobacterium_cheniae	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium
s__Fusicatenibacter_saccharivorans	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Fusicatenibacter
s__midas_s_70897	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium
s__midas_s_63433	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium
s__Gemmiger_formicilis	p__Firmicutes	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Subdoligranulum
s__midas_s_73363	p__Actinobacteriota	c__Actinobacteria	o__Corynebacteriales	f__Nocardiaceae	g__Gordonia
s__Granulicatella_adiacens	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Carnobacteriaceae	g__Granulicatella
s__Helicobacter_pylori	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Helicobacteraceae	g__Helicobacter
s__Hespellia_stercorisuis	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Hespellia
s__Holdemania_filiformis	p__Firmicutes	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Holdemania
s__Holdemania_massiliensis	p__Firmicutes	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Holdemania
s__midas_s_71187	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Howardella
s__Rothia_kristinae	p__Actinobacteriota	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Kocuria
s__Kocuria_palustris	p__Actinobacteriota	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Kocuria
s__midas_s_61660	p__Actinobacteriota	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Kocuria
s__midas_s_113126	p__Actinobacteriota	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Kocuria
s__Kurthia_huakuii	p__Firmicutes	c__Bacilli	o__Bacillales	f__Planococcaceae	g__Kurthia
s__Lactobacillus_alimentarius	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Companilactobacillus
s__midas_s_16339	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus
s__midas_s_51649	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Limosilactobacillus
s__Lactobacillus_brevis	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Levilactobacillus
s__midas_s_54368	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lentilactobacillus
s__midas_s_8687	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lacticaseibacillus
s__Lactobacillus_coleohominis	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Limosilactobacillus
s__Lactobacillus_coryniformis	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Loigolactobacillus
s__midas_s_27827	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Latilactobacillus
s__Lactobacillus_fermentum	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Limosilactobacillus
s__midas_s_51276	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus
s__midas_s_113660	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Amylolactobacillus
s__midas_s_20994	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus
s__Lactobacillus_delbrueckii	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus
s__Lactobacillus_mucosae	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Limosilactobacillus
s__midas_s_36039	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactiplantibacillus
s__Lactobacillus_vaginalis	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Limosilactobacillus
s__midas_s_32413	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnospira
s__Lactobacillus_ruminis	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Ligilactobacillus
s__Lactobacillus_salivarius	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Ligilactobacillus
s__Lactobacillus_sharpeae	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lacticaseibacillus
s__midas_s_24531	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Lactococcus
s__Lactococcus_piscium	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Lactococcus
s__Lactonifactor_longoviformis	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lactonifactor
s__midas_s_5123	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Leuconostoc
s__Limnobacter_thiooxidans	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Limnobacter
s__midas_s_15934	p__Firmicutes	c__Bacilli	o__Bacillales	f__Planococcaceae	g__Lysinibacillus
s__Lysinibacillus_halotolerans	p__Firmicutes	c__Bacilli	o__Bacillales	f__Planococcaceae	g__Lysinibacillus
s__Megamonas_funiformis	p__Firmicutes	c__Negativicutes	o__Veillonellales-Selenomonadales	f__Selenomonadaceae	g__Megamonas
s__Megasphaera_indica	p__Firmicutes	c__Negativicutes	o__Veillonellales-Selenomonadales	f__Veillonellaceae	g__Megasphaera
s__midas_s_78350	p__Cyanobacteria	c__Vampirivibrionia	o__Gastranaerophilales	f__Acinetobacter_sp._CAG196	g__midas_g_62669
s__Methanobrevibacter_ruminantium	p__Euryarchaeota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobrevibacter
s__Methanobrevibacter_smithii	p__Euryarchaeota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobrevibacter
s__Methanomassiliicoccus_luminyensis	p__Thermoplasmatota	c__Thermoplasmata	o__Methanomassiliicoccales	f__Methanomassiliicoccaceae	g__Methanomassiliicoccus
s__Methanosphaera_stadtmanae	p__Euryarchaeota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanosphaera
s__midas_s_3424	p__Actinobacteriota	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Microbacterium
s__midas_s_2888	p__Actinobacteriota	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Microbacterium
s__midas_s_38540	p__Actinobacteriota	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Microbacterium
s__midas_s_60603	p__Actinobacteriota	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Micrococcus
s__Mitsuokella_jalaludinii	p__Firmicutes	c__Negativicutes	o__Veillonellales-Selenomonadales	f__Selenomonadaceae	g__Mitsuokella
s__Mitsuokella_multacida	p__Firmicutes	c__Negativicutes	o__Veillonellales-Selenomonadales	f__Selenomonadaceae	g__Mitsuokella
s__midas_s_8932	p__Firmicutes	c__Clostridia	o__Peptostreptococcales-Tissierellales	f__Anaerovoracaceae	g__Mogibacterium
s__midas_s_3621	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Enhydrobacter
s__midas_s_9578	p__Actinobacteriota	c__Actinobacteria	o__Corynebacteriales	f__Mycobacteriaceae	g__Mycobacterium
s__midas_s_17673	p__Actinobacteriota	c__Actinobacteria	o__Corynebacteriales	f__Mycobacteriaceae	g__Mycobacterium
s__midas_s_23810	p__Firmicutes	c__Negativicutes	o__Veillonellales-Selenomonadales	f__Veillonellaceae	g__Dialister
s__midas_s_39713	p__Firmicutes	c__Clostridia	o__Peptostreptococcales-Tissierellales	f__Anaerovoracaceae	g__Family_XIII_AD3011_group
s__midas_s_2347	p__Halobacterota	c__Methanosarcinia	o__Methanosarciniales	f__Methanosaetaceae	g__Methanothrix
s__midas_s_62743	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Eubacterium_ventriosum_group
s__midas_s_67177	p__Firmicutes	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__UCG-003
s__midas_s_55664	p__Firmicutes	c__Clostridia	o__Christensenellales	f__Christensenellaceae	g__Christensenellaceae_R-7_group
s__midas_s_6488	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Weeksellaceae	g__Chryseobacterium
s__midas_s_73785	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotellaceae_NK3B31_group
s__midas_s_88248	p__Firmicutes	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__midas_g_88248
s__midas_s_69630	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnospiraceae_NK4A136_group
s__midas_s_24340	p__Firmicutes	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminococcus
s__midas_s_47288	p__Firmicutes	c__Clostridia	o__Peptostreptococcales-Tissierellales	f__Peptostreptococcaceae	g__midas_g_34
s__midas_s_47312	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Eubacterium_xylanophilum_group
s__midas_s_82060	p__Firmicutes	c__Clostridia	o__Christensenellales	f__Christensenellaceae	g__Christensenellaceae_R-7_group
s__Comamonas_aquatica	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Comamonas
s__midas_s_13308	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas
s__midas_s_29788	p__Firmicutes	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__UCG-005
s__midas_s_9482	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Leuconostoc
s__Blautia_obeum	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia
s__midas_s_6181	p__Firmicutes	c__Clostridia	o__Christensenellales	f__Christensenellaceae	g__Christensenellaceae_R-7_group
s__midas_s_62955	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Diaphorobacter
s__midas_s_112834	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Akkermansiaceae	g__Akkermansia
s__midas_s_57357	p__Firmicutes	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__midas_g_57357
s__midas_s_62794	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes
s__midas_s_84726	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__midas_g_68114
